title;name;code;country;timezone
"Taiwan Stock Exchange";"TWSE";"XTAI";"Taiwan";"Asia/Taipei"
"Stock Exchange of Thailand";"SET";"XBKK";"Thailand";"Asia/Bangkok"
"Istanbul Stock Exchange";"BIST";"XIST";"Turkey";"Europe/Istanbul"
"Abu Dhabi Securities Exchange";"ADX";"XADS";"United Arab Emirates";"Asia/Dubai"
"Dubai Financial Market";"DFM";"XDFM";"United Arab Emirates";"Asia/Dubai"
"London Stock Exchange";"LSE";"XLON";"United Kingdom";"Europe/London"
"London Stock Exchange - AIM MTF";"LSE";"AIMX";"United Kingdom";"Europe/London"
"CBOE BZX U.S. Equities Exchange";"CBOE";"BATS";"United States";"America/New_York"
"NASDAQ/NMS (Global Market)";"NASDAQ";"XNMS";"United States";"America/New_York"
"New York Stock Exchange, Inc.";"NYSE";"XNYS";"United States";"America/New_York"
"NASDAQ Capital Market";"NASDAQ";"XNCM";"United States";"America/New_York"
"OTCQX Marketplace";"OTC";"OTCQ";"United States";"America/New_York"
"OTCQB Marketplace";"OTC";"OTCB";"United States";"America/New_York"
"NASDAQ/NGS (Global Select Market)";"NASDAQ";"XNGS";"United States";"America/New_York"
"OTC Grey Market";"OTC";"PSGM";"United States";"America/New_York"
"NASDAQ";"NASDAQ";"XNAS";"United States";"America/New_York"
"OTC Pink  Marketplace";"OTC";"PINX";"United States";"America/New_York"
"NYSE Arca";"NYSE";"ARCX";"United States";"America/New_York"
"NYSE Mkt LLC";"NYSE";"XASE";"United States";"America/New_York"
"Expert Market";"OTC";"EXPM";"United States";"America/New_York"
"Caracas Stock Exchange";"BVCC";"BVCA";"Venezuela";"America/Caracas"
